time,received_at,cloud_event_id,TRACKS.MUNIC.MDI_CC_DASHBOARD_FUEL_LEVEL_PERCENT (%),TRACKS.MUNIC.MDI_DASHBOARD_FUEL (l),TRACKS.MUNIC.MDI_DASHBOARD_FUEL_LEVEL (%),speed_kmh,fuel_value
2025-08-16 17:50:41.000,2025-08-16 17:51:44,2068054872485314822,,,54.0,3.0,372270.0
2025-08-16 17:58:46.001,2025-08-16 17:59:53,2068056924846555398,,,54.0,34.0,54.0
2025-08-16 18:09:54.000,2025-08-16 18:11:04,2068059739719270662,,,54.0,48.0,373040.0
2025-08-16 18:20:00.000,2025-08-16 18:21:12,2068062290514592006,,,54.0,41.91447461833357,373340.0
2025-08-17 17:21:30.000,2025-08-17 17:22:35,2068409924199022854,,,54.0,34.28423268533896,373840.0
2025-08-17 17:37:40.000,2025-08-17 17:38:56,2068414039574200582,,,54.0,79.0,374360.0
2025-08-17 17:44:43.000,2025-08-17 17:45:56,2068415802335297798,,,54.0,25.0,374610.0
2025-08-17 17:53:50.000,2025-08-17 17:55:02,2068418094094713094,,,54.0,72.0,374940.0
2025-08-17 18:02:56.000,2025-08-17 18:04:10,2068420389993824518,,,54.0,38.0,54.0
2025-08-17 18:13:04.000,2025-08-17 18:14:21,2068422951363002630,,,54.0,78.0,54.0
2025-08-17 18:22:12.000,2025-08-17 18:23:28,2068425247807242502,,,54.0,67.0,376020.0
2025-08-17 18:30:16.000,2025-08-17 18:30:55,2068427121872716038,,,54.0,67.0,376230.0
2025-08-21 09:45:07.000,2025-08-21 09:46:22,2069744667586461958,,,54.0,34.20274466469532,54.0
2025-09-01 08:17:02.000,2025-09-01 08:17:58,2073708685485474054,,,54.0,10.0,378180.0
2025-09-01 09:02:08.000,2025-09-01 09:03:24,2073720118981951750,,29.0,54.0,48.0,378690.0
2025-09-01 09:12:11.001,2025-09-01 09:12:57,2073722521639747846,,,54.0,32.77114830202424,378800.0
2025-09-01 09:22:16.000,2025-09-01 09:23:04,2073725068093096198,,,54.0,0.0,54.0
2025-09-01 09:23:17.001,2025-09-01 09:24:04,2073725321669116166,,,54.0,50.0,54.0
2025-09-01 09:51:34.000,2025-09-01 09:52:16,2073732416031342854,,,54.0,86.0,380240.0
2025-09-01 09:52:35.000,2025-09-01 09:53:16,2073732671385043206,,,54.0,79.13412804731244,380350.0
2025-09-01 10:09:46.000,2025-09-01 10:10:33,2073737021054206214,,,54.0,80.0,54.0
2025-09-04 12:56:43.000,2025-09-04 12:57:35,2074866218413621510,,,54.0,0.0,381810.0
2025-09-04 13:04:47.000,2025-09-04 13:05:44,2074868267935154438,,,54.0,60.99999999999999,382210.0
2025-09-04 13:08:50.000,2025-09-04 13:09:48,2074869293921222918,,,54.0,24.261206146172228,54.0
2025-09-04 13:41:42.000,2025-09-04 13:42:49,2074877600286671110,,,54.0,42.0,382830.0
2025-09-08 18:11:56.000,2025-09-08 18:12:49,2076395100736405766,,,54.0,0.0,383170.0
2025-09-11 13:26:15.003,2025-09-11 13:27:29,2077410455542120710,,,54.0,37.0,54.0
2025-09-18 10:25:30.000,2025-09-18 10:26:33,2079901640114094342,,,54.0,0.0,386200.0
2025-09-18 10:30:33.001,2025-09-18 10:31:41,2079902931951763718,,,54.0,0.0,54.0
